redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
186653,25474,185807,743,9435,12,1476,409600,40.7359033252,-73.9742362434
166720,17907,217840,1470,2849,26,2788,409600,40.7359033252,-73.9742362434
207593,39512,145053,4146,8982,129,4185,409600,40.7359033252,-73.9742362434
146123,37890,192760,734,29666,46,2381,409600,40.7359033252,-73.9742362434
114251,95415,144710,28206,23352,188,3478,409600,40.7359033302,-73.9753120577
67922,96007,177908,48195,15912,598,3058,409600,40.7359033302,-73.9753120577
177730,112950,98587,4273,12316,410,3334,409600,40.7359033302,-73.9753120577
82421,130879,143659,15555,33080,292,3714,409600,40.7359033302,-73.9753120577
94983,155667,129948,5248,12064,41,11649,409600,40.7359033352,-73.9763878719
69933,238756,83450,980,10133,14,6334,409600,40.7359033352,-73.9763878719
38552,229709,98868,23544,9181,152,9594,409600,40.7359033352,-73.9763878719
78380,122072,176333,5955,20691,30,6139,409600,40.7359033352,-73.9763878719
158789,148822,80474,1626,9367,199,10323,409600,40.7359033502,-73.9796153147
55697,166975,146060,14224,17245,359,9040,409600,40.7359033502,-73.9796153147
81064,175797,130561,1463,15505,41,5169,409600,40.7359033502,-73.9796153147
115369,142042,111750,21784,10147,569,7939,409600,40.7359033502,-73.9796153147
115549,145853,131090,3694,6278,254,6882,409600,40.7359033552,-73.980691129
57947,196598,132970,5126,9349,287,7323,409600,40.7359033552,-73.980691129
82830,119050,184487,10495,9946,528,2264,409600,40.7359033552,-73.980691129
49059,162028,155310,31870,7214,827,3292,409600,40.7359033552,-73.980691129
117356,45254,231261,1435,3442,109,10743,409600,40.7359033602,-73.9817669433
175691,68123,150526,1796,6624,243,6597,409600,40.7359033602,-73.9817669433
125243,33121,241528,1149,4703,74,3782,409600,40.7359033602,-73.9817669433
77700,54382,255832,4788,8753,87,8058,409600,40.7359033602,-73.9817669433
200137,142692,36031,3545,22592,139,4464,409600,40.7359033652,-73.9828427576
227826,37297,130218,3033,7255,66,3905,409600,40.7359033652,-73.9828427576
186065,75541,132495,1654,8854,70,4921,409600,40.7359033652,-73.9828427576
85791,111829,192037,1528,10042,30,8343,409600,40.7359033652,-73.9828427576
151012,166327,76308,3049,9680,408,2816,409600,40.7359033702,-73.9839185718
66660,127173,195271,5276,7954,1071,6195,409600,40.7359033702,-73.9839185718
195068,97302,102842,2793,6161,572,4862,409600,40.7359033702,-73.9839185718
130600,149073,114251,2530,6990,2879,3277,409600,40.7359033702,-73.9839185718
118192,58838,222968,1366,6402,149,1685,409600,40.7359033752,-73.9849943861
72264,125358,182936,3905,15396,74,9667,409600,40.7359033752,-73.9849943861
194620,72332,114987,7512,18641,49,1459,409600,40.7359033752,-73.9849943861
35039,199825,156901,2407,6368,144,8916,409600,40.7359033752,-73.9849943861
193515,51562,149581,652,8656,64,5570,409600,40.7359033802,-73.9860702004
148405,68009,173302,3138,9002,145,7599,409600,40.7359033802,-73.9860702004
119541,56741,214253,4071,9103,139,5752,409600,40.7359033802,-73.9860702004
149132,48210,188003,4927,14537,111,4680,409600,40.7359033802,-73.9860702004
121234,76709,192020,5235,4942,174,9286,409600,40.7359033852,-73.9871460146
162907,102371,109313,7338,17622,147,9902,409600,40.7359033852,-73.9871460146
103346,110507,169754,3336,8284,97,14276,409600,40.7359033852,-73.9871460146
90512,144718,135124,20119,12242,191,6694,409600,40.7359033852,-73.9871460146
69910,271319,49322,3622,9039,106,6282,409600,40.7359033901,-73.9882218289
203822,62681,129656,1958,5180,462,5841,409600,40.7359033901,-73.9882218289
109078,169835,104723,1479,16861,117,7507,409600,40.7359033901,-73.9882218289
68519,217461,98419,2559,12803,278,9561,409600,40.7359033901,-73.9882218289
132789,108748,147862,2159,14475,100,3467,409600,40.7359033951,-73.9892976432
168657,124748,99369,1055,7588,108,8075,409600,40.7359033951,-73.9892976432
70690,129023,188905,2038,18142,95,707,409600,40.7359033951,-73.9892976432
140319,188750,55276,3640,12783,39,8793,409600,40.7359033951,-73.9892976432
153760,54479,175590,3297,15874,126,6474,409600,40.7359034051,-73.9914492717
83288,135003,159617,5177,18376,119,8020,409600,40.7359034051,-73.9914492717
110156,115632,145359,19595,15325,169,3364,409600,40.7359034051,-73.9914492717
87081,67213,236190,4469,10612,151,3884,409600,40.7359034051,-73.9914492717
64443,180791,133297,2019,6691,191,22168,409600,40.7359034101,-73.992525086
220979,114327,46921,1113,24837,38,1385,409600,40.7359034101,-73.992525086
134907,107176,145152,3399,14480,211,4275,409600,40.7359034101,-73.992525086
82502,124035,174295,1981,13885,96,12806,409600,40.7359034101,-73.992525086
188911,82749,114860,1819,17119,90,4052,409600,40.7359034151,-73.9936009003
85246,70118,235885,862,8114,15,9360,409600,40.7359034151,-73.9936009003
134663,55041,194626,6347,9551,41,9331,409600,40.7359034151,-73.9936009003
107659,89549,186245,1215,13445,56,11431,409600,40.7359034151,-73.9936009003
158665,140060,74975,3691,20414,16,11779,409600,40.7359034201,-73.9946767145
180498,157008,41771,3109,20723,10,6481,409600,40.7359034201,-73.9946767145
117852,127871,137068,5839,18268,50,2652,409600,40.7359034201,-73.9946767145
180018,90103,111983,5273,17653,105,4465,409600,40.7359034201,-73.9946767145
202551,158803,28352,1700,8125,27,10042,409600,40.7359034251,-73.9957525288
142336,156684,84843,2120,16378,44,7195,409600,40.7359034251,-73.9957525288
136651,146406,103264,5693,12419,38,5129,409600,40.7359034251,-73.9957525288
147951,152942,90166,4623,11295,145,2478,409600,40.7359034251,-73.9957525288
106068,208916,68408,6753,16761,77,2617,409600,40.7359034301,-73.9968283431
87968,229805,52087,17591,15383,920,5846,409600,40.7359034301,-73.9968283431
69118,194584,102898,18714,13804,246,10236,409600,40.7359034301,-73.9968283431
103492,197363,85686,3005,15739,145,4170,409600,40.7359034301,-73.9968283431
57230,92613,234280,3038,18162,578,3699,409600,40.7359034351,-73.9979041574
131988,83859,168055,2737,15130,157,7674,409600,40.7359034351,-73.9979041574
186918,107659,94396,618,18627,57,1325,409600,40.7359034351,-73.9979041574
131105,83944,174316,2764,10952,103,6416,409600,40.7359034351,-73.9979041574
134083,158545,93595,2907,13197,454,6819,409600,40.7359034401,-73.9989799716
102511,179693,114149,3040,5651,75,4481,409600,40.7359034401,-73.9989799716
83523,156306,149140,6702,10559,510,2860,409600,40.7359034401,-73.9989799716
119332,134681,142893,1658,6893,523,3620,409600,40.7359034401,-73.9989799716
89665,237789,42963,12483,22959,456,3285,409600,40.7359034451,-74.0000557859
139591,130775,119653,5125,11690,179,2587,409600,40.7359034451,-74.0000557859
116110,175082,99723,4627,9446,468,4144,409600,40.7359034451,-74.0000557859
86216,184811,112549,4726,18204,433,2661,409600,40.7359034451,-74.0000557859
159983,140377,97074,750,1996,273,9147,409600,40.7359034501,-74.0011316002
88921,251915,45954,1580,9348,58,11824,409600,40.7359034501,-74.0011316002
68288,202064,117552,3424,5586,309,12377,409600,40.7359034501,-74.0011316002
64310,231354,94376,915,3502,152,14991,409600,40.7359034501,-74.0011316002
146342,182009,69777,1990,5829,351,3302,409600,40.7359034551,-74.0022074144
136020,80090,170742,9264,9067,1295,3122,409600,40.7359034551,-74.0022074144
77634,125861,165697,26704,9963,1699,2042,409600,40.7359034551,-74.0022074144
93165,181405,125021,1641,4871,1144,2353,409600,40.7359034551,-74.0022074144
74338,174336,145399,6137,5302,393,3695,409600,40.7359034601,-74.0032832287
34553,198941,157879,8499,5546,895,3287,409600,40.7359034601,-74.0032832287
124793,176847,90731,2861,8287,471,5610,409600,40.7359034601,-74.0032832287
171340,99417,123038,4849,5256,556,5144,409600,40.7359034601,-74.0032832287
205031,95560,96163,2535,3738,442,6131,409600,40.7359034651,-74.004359043
112532,178642,99853,5041,9270,72,4190,409600,40.7359034651,-74.004359043
112220,134398,149386,2402,5649,292,5253,409600,40.7359034651,-74.004359043
57213,176354,125183,39971,5979,289,4611,409600,40.7359034651,-74.004359043
117389,213880,56391,1056,12670,129,8085,409600,40.7359034701,-74.0054348573
162131,80459,143156,4641,4844,105,14264,409600,40.7359034701,-74.0054348573
189445,98098,106672,1892,11464,88,1941,409600,40.7359034701,-74.0054348573
56174,149561,140904,45999,8994,1060,6908,409600,40.7359034701,-74.0054348573
94672,198193,99060,2516,11536,441,3182,409600,40.7359034751,-74.0065106715
88018,175868,127718,2262,9359,113,6262,409600,40.7359034751,-74.0065106715
132648,87883,172682,1745,11545,113,2984,409600,40.7359034751,-74.0065106715
83558,168207,132700,7871,10783,1123,5358,409600,40.7359034751,-74.0065106715
81565,216634,89624,4338,9915,308,7216,409600,40.735903485,-74.0086623001
64375,260479,60945,3285,12426,32,8058,409600,40.735903485,-74.0086623001
80509,272661,38307,822,12422,30,4849,409600,40.735903485,-74.0086623001
97142,226022,60940,2062,14138,113,9183,409600,40.735903485,-74.0086623001
176965,91831,115895,6809,9786,291,8023,409600,40.73590348,-74.0075864858
198178,82062,115350,2715,6334,602,4359,409600,40.73590348,-74.0075864858
161332,100077,128295,1417,15126,144,3209,409600,40.73590348,-74.0075864858
117754,117157,122144,36462,11158,992,3933,409600,40.73590348,-74.0075864858
157930,148276,73615,4581,18559,35,6604,409600,40.73590349,-74.0097381144
176654,158033,51932,3107,13917,73,5884,409600,40.73590349,-74.0097381144
89777,108637,190216,2491,8942,27,9510,409600,40.73590349,-74.0097381144
124563,198151,60712,10164,11795,296,3919,409600,40.73590349,-74.0097381144
118278,85789,179045,1783,23688,21,996,409600,40.7365158452,-73.9742358571
151932,26076,212631,857,17345,71,688,409600,40.7365158452,-73.9742358571
145982,54395,182846,982,23627,78,1690,409600,40.7365158452,-73.9742358571
188447,57690,127806,1035,33355,45,1222,409600,40.7365158452,-73.9742358571
90664,94460,179179,25629,16444,311,2913,409600,40.7365158502,-73.9753116813
28404,98250,139544,124813,8127,205,10257,409600,40.7365158502,-73.9753116813
106369,131545,142005,8713,15444,298,5226,409600,40.7365158502,-73.9753116813
79258,110670,158775,33229,21252,53,6363,409600,40.7365158502,-73.9753116813
132318,97741,153318,9253,12263,88,4619,409600,40.7365158552,-73.9763875054
109127,91949,167696,23218,8613,196,8801,409600,40.7365158552,-73.9763875054
171529,54689,167841,4712,7562,201,3066,409600,40.7365158552,-73.9763875054
127921,101168,150712,14607,10877,233,4082,409600,40.7365158552,-73.9763875054
112565,201024,59891,13185,16874,20,6041,409600,40.7365158602,-73.9774633296
85435,214439,84653,7983,11857,154,5079,409600,40.7365158602,-73.9774633296
45842,208201,109175,23769,15349,96,7168,409600,40.7365158602,-73.9774633296
143585,124024,120600,11269,8446,59,1617,409600,40.7365158602,-73.9774633296
59553,176377,159099,424,2488,108,11551,409600,40.7365158652,-73.9785391538
41008,188784,159453,1321,10385,28,8621,409600,40.7365158652,-73.9785391538
220756,93791,88372,576,2242,83,3780,409600,40.7365158652,-73.9785391538
98714,127479,168671,892,7417,27,6400,409600,40.7365158652,-73.9785391538
114343,261050,20984,862,9196,146,3019,409600,40.7365158702,-73.979614978
51069,266692,71963,2087,6866,124,10799,409600,40.7365158702,-73.979614978
75688,196177,113497,8960,6366,451,8461,409600,40.7365158702,-73.979614978
98040,242533,45563,3001,11696,144,8623,409600,40.7365158702,-73.979614978
164410,177427,42703,1644,17123,101,6192,409600,40.7365158752,-73.9806908021
54481,224202,109778,1885,8907,23,10324,409600,40.7365158752,-73.9806908021
89038,155311,128779,10750,16891,132,8699,409600,40.7365158752,-73.9806908021
117753,198512,68431,3402,15092,95,6315,409600,40.7365158752,-73.9806908021
135224,117005,128597,1764,7763,77,19170,409600,40.7365158802,-73.9817666263
49732,148253,164496,24877,11375,104,10763,409600,40.7365158802,-73.9817666263
86377,133685,169503,4793,9041,76,6125,409600,40.7365158802,-73.9817666263
141505,109803,102356,35399,17263,265,3009,409600,40.7365158802,-73.9817666263
174809,151707,49010,7959,22441,32,3642,409600,40.7365158852,-73.9828424505
220734,101449,63133,1636,15476,373,6799,409600,40.7365158852,-73.9828424505
188519,100564,87056,2902,27207,197,3155,409600,40.7365158852,-73.9828424505
52868,296840,47064,1648,9151,46,1983,409600,40.7365158852,-73.9828424505
201740,56457,122789,2369,21602,203,4440,409600,40.7365158902,-73.9839182747
124986,95457,172970,3134,9196,962,2895,409600,40.7365158902,-73.9839182747
133306,84270,167376,8493,9853,471,5831,409600,40.7365158902,-73.9839182747
116773,62798,204036,3675,18837,73,3408,409600,40.7365158902,-73.9839182747
144047,72647,180597,1101,10087,31,1090,409600,40.7365158952,-73.9849940988
114306,147156,105944,8243,22710,228,11013,409600,40.7365158952,-73.9849940988
168350,99947,117120,1622,20400,37,2124,409600,40.7365158952,-73.9849940988
153001,57523,186528,1407,4406,110,6625,409600,40.7365158952,-73.9849940988
101331,124928,167146,3898,9072,395,2830,409600,40.7365159002,-73.986069923
88758,166458,139706,4235,4159,797,5487,409600,40.7365159002,-73.986069923
38554,201830,160625,922,3016,1569,3084,409600,40.7365159002,-73.986069923
68269,114877,197869,18714,5358,1358,3155,409600,40.7365159002,-73.986069923
154937,90370,145654,3976,8240,231,6192,409600,40.7365159052,-73.9871457472
171836,65814,144607,6757,17549,225,2812,409600,40.7365159052,-73.9871457472
213310,39704,144006,2565,6966,279,2770,409600,40.7365159052,-73.9871457472
120675,29427,246210,2527,8420,580,1761,409600,40.7365159052,-73.9871457472
147700,145546,69059,7871,26882,70,12472,409600,40.7365159101,-73.9882215714
173025,70132,157576,1318,5667,146,1736,409600,40.7365159101,-73.9882215714
175305,68520,145885,2699,12004,190,4997,409600,40.7365159101,-73.9882215714
103732,146821,128604,2627,24469,228,3119,409600,40.7365159101,-73.9882215714
185351,113283,91013,2141,9967,117,7728,409600,40.7365159151,-73.9892973956
103750,110188,168423,3891,15693,211,7444,409600,40.7365159151,-73.9892973956
123147,120065,131055,3875,25208,11,6239,409600,40.7365159151,-73.9892973956
145355,128512,106613,2883,23610,145,2482,409600,40.7365159151,-73.9892973956
148509,109562,118169,2798,25163,78,5321,409600,40.7365159201,-73.9903732197
